Day,Number of Bicycle Hires,
16/05/2013,26070.00,
17/05/2013,24932.00,
18/05/2013,22272.00,
19/05/2013,23994.00,
20/05/2013,25914.00,
21/05/2013,27649.00,
22/05/2013,26967.00,
23/05/2013,24701.00,
24/05/2013,12891.00,
25/05/2013,21087.00,
26/05/2013,27251.00,
27/05/2013,25819.00,
28/05/2013,14556.00,
29/05/2013,21440.00,
30/05/2013,22150.00,
31/05/2013,29136.00,
01/06/2013,24782.00,
02/06/2013,27202.00,
03/06/2013,29940.00,
04/06/2013,32397.00,
05/06/2013,32488.00,
06/06/2013,32829.00,
07/06/2013,28762.00,
08/06/2013,27264.00,
09/06/2013,19429.00,
10/06/2013,27336.00,
11/06/2013,26601.00,
12/06/2013,24401.00,
13/06/2013,26388.00,
14/06/2013,28797.00,
15/06/2013,16020.00,
16/06/2013,19970.00,
17/06/2013,28611.00,
18/06/2013,30871.00,
19/06/2013,31899.00,
20/06/2013,29959.00,
21/06/2013,28844.00,
22/06/2013,19483.00,
23/06/2013,19006.00,
24/06/2013,27636.00,
25/06/2013,31889.00,
26/06/2013,31156.00,
27/06/2013,27306.00,
28/06/2013,22074.00,
29/06/2013,29054.00,
30/06/2013,31237.00,
01/07/2013,31151.00,
02/07/2013,30163.00,
03/07/2013,30780.00,
04/07/2013,32941.00,
05/07/2013,34704.00,
06/07/2013,34191.00,
07/07/2013,31363.00,
08/07/2013,34263.00,
09/07/2013,35519.00,
10/07/2013,33629.00,
11/07/2013,33792.00,
12/07/2013,33173.00,
13/07/2013,33509.00,
14/07/2013,32169.00,
15/07/2013,34419.00,
16/07/2013,35580.00,
17/07/2013,35203.00,
18/07/2013,35330.00,
19/07/2013,35196.00,
20/07/2013,28332.00,
21/07/2013,30075.00,
22/07/2013,33176.00,
23/07/2013,31624.00,
24/07/2013,34038.00,
25/07/2013,33683.00,
26/07/2013,34681.00,
27/07/2013,25761.00,
28/07/2013,28177.00,
29/07/2013,30415.00,
30/07/2013,22742.00,
31/07/2013,28976.00,
01/08/2013,34770.00,
02/08/2013,29109.00,
03/08/2013,34928.00,
04/08/2013,32580.00,
05/08/2013,23864.00,
06/08/2013,33631.00,
07/08/2013,33084.00,
08/08/2013,33737.00,
09/08/2013,28206.00,
10/08/2013,28830.00,
11/08/2013,29530.00,
12/08/2013,30425.00,
13/08/2013,30933.00,
14/08/2013,31412.00,
15/08/2013,30865.00,
16/08/2013,25555.00,
17/08/2013,23931.00,
18/08/2013,26910.00,
19/08/2013,31183.00,
20/08/2013,33578.00,
21/08/2013,33214.00,
22/08/2013,22363.00,
23/08/2013,30665.00,
24/08/2013,7341.00,
25/08/2013,21638.00,
26/08/2013,27802.00,
27/08/2013,29563.00,
28/08/2013,32024.00,
29/08/2013,31639.00,
30/08/2013,31127.00,
31/08/2013,29718.00,
01/09/2013,23856.00,
02/09/2013,31292.00,
03/09/2013,31600.00,
04/09/2013,33406.00,
05/09/2013,33574.00,
06/09/2013,20930.00,
07/09/2013,21279.00,
08/09/2013,18046.00,
09/09/2013,17943.00,
10/09/2013,24558.00,
11/09/2013,23386.00,
12/09/2013,24246.00,
13/09/2013,15392.00,
14/09/2013,12977.00,
15/09/2013,4826.00,
16/09/2013,21892.00,
17/09/2013,18428.00,
18/09/2013,25319.00,
19/09/2013,18746.00,
20/09/2013,26196.00,
21/09/2013,21988.00,
22/09/2013,22683.00,
23/09/2013,26625.00,
24/09/2013,28666.00,
25/09/2013,28183.00,
26/09/2013,28857.00,
27/09/2013,27371.00,
28/09/2013,21716.00,
29/09/2013,20654.00,
30/09/2013,27089.00,
01/10/2013,27711.00,
02/10/2013,26467.00,
03/10/2013,25153.00,
04/10/2013,26522.00,
05/10/2013,22996.00,
06/10/2013,25143.00,
07/10/2013,26680.00,
08/10/2013,27598.00,
09/10/2013,26433.00,
10/10/2013,23497.00,
11/10/2013,15640.00,
12/10/2013,17068.00,
13/10/2013,7068.00,
14/10/2013,18979.00,
15/10/2013,24657.00,
16/10/2013,20562.00,
17/10/2013,25170.00,
18/10/2013,24880.00,
19/10/2013,17430.00,
20/10/2013,11396.00,
21/10/2013,21385.00,
22/10/2013,22316.00,
23/10/2013,24178.00,
24/10/2013,26399.00,
25/10/2013,23677.00,
26/10/2013,16986.00,
27/10/2013,15652.00,
28/10/2013,14577.00,
29/10/2013,23126.00,
30/10/2013,24753.00,
31/10/2013,20055.00,
01/11/2013,20597.00,
02/11/2013,15347.00,
03/11/2013,13063.00,
04/11/2013,20369.00,
05/11/2013,19326.00,
06/11/2013,18431.00,
07/11/2013,22527.00,
08/11/2013,15188.00,
09/11/2013,6772.00,
10/11/2013,9767.00,
11/11/2013,14377.00,
12/11/2013,19572.00,
13/11/2013,22021.00,
14/11/2013,21061.00,
15/11/2013,20850.00,
16/11/2013,15029.00,
17/11/2013,12340.00,
18/11/2013,18491.00,
19/11/2013,20335.00,
20/11/2013,14115.00,
21/11/2013,18668.00,
22/11/2013,18789.00,
23/11/2013,13276.00,
24/11/2013,10505.00,
25/11/2013,19201.00,
26/11/2013,20486.00,
27/11/2013,20274.00,
28/11/2013,20649.00,
29/11/2013,19397.00,
30/11/2013,13323.00,
01/12/2013,11711.00,
02/12/2013,19630.00,
03/12/2013,20242.00,
04/12/2013,20035.00,
05/12/2013,18326.00,
06/12/2013,18494.00,
07/12/2013,13625.00,
08/12/2013,13076.00,
09/12/2013,19969.00,
10/12/2013,20432.00,
11/12/2013,19123.00,
12/12/2013,19420.00,
13/12/2013,16921.00,
14/12/2013,14049.00,
15/12/2013,8557.00,
16/12/2013,13825.00,
17/12/2013,15689.00,
18/12/2013,17311.00,
19/12/2013,17738.00,
20/12/2013,18046.00,
21/12/2013,5774.00,
22/12/2013,9233.00,
23/12/2013,6246.00,
24/12/2013,6201.00,
25/12/2013,27715.00,
26/12/2013,7666.00,
27/12/2013,7258.00,
28/12/2013,10533.00,
29/12/2013,10983.00,
30/12/2013,8413.00,
31/12/2013,7701.00,
01/01/2014,4327.00,
02/01/2014,15820.00,
03/01/2014,11636.00,
04/01/2014,6918.00,
05/01/2014,9145.00,
06/01/2014,13066.00,
07/01/2014,17420.00,
08/01/2014,19770.00,
09/01/2014,19143.00,
10/01/2014,18840.00,
11/01/2014,15723.00,
12/01/2014,11975.00,
13/01/2014,17721.00,
14/01/2014,20740.00,
15/01/2014,19243.00,
16/01/2014,18861.00,
17/01/2014,17434.00,
18/01/2014,15333.00,
19/01/2014,16083.00,
20/01/2014,21218.00,
21/01/2014,21756.00,
22/01/2014,21072.00,
23/01/2014,20020.00,
24/01/2014,19272.00,
25/01/2014,14581.00,
26/01/2014,7033.00,
27/01/2014,18285.00,
28/01/2014,19939.00,
29/01/2014,10585.00,
30/01/2014,17052.00,
31/01/2014,13859.00,
01/02/2014,13981.00,
02/02/2014,15924.00,
03/02/2014,20370.00,
04/02/2014,21217.00,
05/02/2014,29418.00,
06/02/2014,25395.00,
07/02/2014,19857.00,
08/02/2014,10928.00,
09/02/2014,11657.00,
10/02/2014,19278.00,
11/02/2014,18514.00,
12/02/2014,18000.00,
13/02/2014,20954.00,
14/02/2014,12794.00,
15/02/2014,11208.00,
16/02/2014,18484.00,
17/02/2014,19013.00,
18/02/2014,19484.00,
19/02/2014,21556.00,
20/02/2014,19396.00,
21/02/2014,21269.00,
22/02/2014,20033.00,
23/02/2014,13680.00,
24/02/2014,21469.00,
25/02/2014,20713.00,
26/02/2014,23938.00,
27/02/2014,20629.00,
28/02/2014,13781.00,
01/03/2014,18823.00,
02/03/2014,11727.00,
03/03/2014,18150.00,
04/03/2014,23069.00,
05/03/2014,25102.00,
06/03/2014,24696.00,
07/03/2014,24385.00,
08/03/2014,25556.00,
09/03/2014,33955.00,
10/03/2014,24347.00,
11/03/2014,23871.00,
12/03/2014,27173.00,
13/03/2014,27552.00,
14/03/2014,28134.00,
15/03/2014,29664.00,
16/03/2014,34421.00,
17/03/2014,26465.00,
18/03/2014,25502.00,
19/03/2014,26719.00,
20/03/2014,23718.00,
21/03/2014,23821.00,
22/03/2014,19091.00,
23/03/2014,17463.00,
24/03/2014,24055.00,
25/03/2014,19421.00,
26/03/2014,20493.00,
27/03/2014,23462.00,
28/03/2014,24198.00,
29/03/2014,29511.00,
30/03/2014,26605.00,
31/03/2014,26715.00,
01/04/2014,29782.00,
02/04/2014,28876.00,
03/04/2014,28245.00,
04/04/2014,27401.00,
05/04/2014,25648.00,
06/04/2014,16387.00,
07/04/2014,18883.00,
08/04/2014,26654.00,
09/04/2014,29621.00,
10/04/2014,29229.00,
11/04/2014,28435.00,
12/04/2014,25706.00,
13/04/2014,31404.00,
14/04/2014,28742.00,
15/04/2014,30031.00,
16/04/2014,30934.00,
17/04/2014,27676.00,
18/04/2014,22152.00,
19/04/2014,21424.00,
20/04/2014,7188.00,
21/04/2014,20532.00,
22/04/2014,22689.00,
23/04/2014,27102.00,
24/04/2014,29119.00,
25/04/2014,20400.00,
26/04/2014,25195.00,
27/04/2014,21284.00,
28/04/2014,29474.00,
29/04/2014,46333.00,
30/04/2014,49025.00,
01/05/2014,16644.00,
02/05/2014,26510.00,
03/05/2014,31534.00,
04/05/2014,33030.00,
05/05/2014,33748.00,
06/05/2014,32323.00,
07/05/2014,28802.00,
08/05/2014,19398.00,
09/05/2014,30131.00,
10/05/2014,19373.00,
11/05/2014,17645.00,
12/05/2014,26149.00,
13/05/2014,25351.00,
14/05/2014,34122.00,
15/05/2014,35148.00,
16/05/2014,36268.00,
17/05/2014,38147.00,
18/05/2014,43663.00,
19/05/2014,37088.00,
20/05/2014,33626.00,
21/05/2014,34437.00,
22/05/2014,30819.00,
23/05/2014,30556.00,
24/05/2014,18723.00,
25/05/2014,33401.00,
26/05/2014,12049.00,
27/05/2014,14446.00,
28/05/2014,21978.00,
29/05/2014,29229.00,
30/05/2014,31331.00,
31/05/2014,35040.00,
01/06/2014,36655.00,
02/06/2014,33481.00,
03/06/2014,29332.00,
04/06/2014,25905.00,
05/06/2014,34617.00,
06/06/2014,37440.00,
07/06/2014,29919.00,
08/06/2014,44415.00,
09/06/2014,34305.00,
10/06/2014,40128.00,
11/06/2014,39582.00,
12/06/2014,39928.00,
13/06/2014,40036.00,
14/06/2014,32758.00,
15/06/2014,28944.00,
16/06/2014,31592.00,
17/06/2014,37658.00,
18/06/2014,35431.00,
19/06/2014,36113.00,
20/06/2014,36924.00,
21/06/2014,42463.00,
22/06/2014,41596.00,
23/06/2014,35206.00,
24/06/2014,38066.00,
25/06/2014,39623.00,
26/06/2014,35438.00,
27/06/2014,35912.00,
28/06/2014,20199.00,
29/06/2014,26714.00,
30/06/2014,32193.00,
01/07/2014,39495.00,
02/07/2014,40878.00,
03/07/2014,43116.00,
04/07/2014,38316.00,
05/07/2014,27332.00,
06/07/2014,31117.00,
07/07/2014,36191.00,
08/07/2014,35107.00,
09/07/2014,38844.00,
10/07/2014,32108.00,
11/07/2014,27618.00,
12/07/2014,38331.00,
13/07/2014,33227.00,
14/07/2014,38450.00,
15/07/2014,40888.00,
16/07/2014,42341.00,
17/07/2014,42404.00,
18/07/2014,40543.00,
19/07/2014,37061.00,
20/07/2014,34379.00,
21/07/2014,38499.00,
22/07/2014,42928.00,
23/07/2014,42486.00,
24/07/2014,42412.00,
25/07/2014,31881.00,
26/07/2014,43788.00,
27/07/2014,39917.00,
28/07/2014,36203.00,
29/07/2014,42308.00,
30/07/2014,43044.00,
31/07/2014,41970.00,
01/08/2014,40009.00,
02/08/2014,38046.00,
03/08/2014,41944.00,
04/08/2014,39856.00,
05/08/2014,40716.00,
06/08/2014,38665.00,
07/08/2014,42491.00,
08/08/2014,34234.00,
09/08/2014,47454.00,
10/08/2014,23980.00,
11/08/2014,31725.00,
12/08/2014,34827.00,
13/08/2014,37856.00,
14/08/2014,27185.00,
15/08/2014,32510.00,
16/08/2014,47245.00,
17/08/2014,39952.00,
18/08/2014,30784.00,
19/08/2014,35332.00,
20/08/2014,36817.00,
21/08/2014,33236.00,
22/08/2014,34047.00,
23/08/2014,29999.00,
24/08/2014,30962.00,
25/08/2014,6175.00,
26/08/2014,18448.00,
27/08/2014,32286.00,
28/08/2014,31842.00,
29/08/2014,32439.00,
30/08/2014,30832.00,
31/08/2014,33312.00,
01/09/2014,27455.00,
02/09/2014,36836.00,
03/09/2014,36523.00,
04/09/2014,35448.00,
05/09/2014,35013.00,
06/09/2014,33434.00,
07/09/2014,34248.00,
08/09/2014,36983.00,
09/09/2014,37674.00,
10/09/2014,37091.00,
11/09/2014,35303.00,
12/09/2014,37144.00,
13/09/2014,34174.00,
14/09/2014,31770.00,
15/09/2014,36629.00,
16/09/2014,37535.00,
17/09/2014,38583.00,
18/09/2014,38442.00,
19/09/2014,36841.00,
20/09/2014,31031.00,
21/09/2014,33334.00,
22/09/2014,35178.00,
23/09/2014,36460.00,
24/09/2014,32680.00,
25/09/2014,35367.00,
26/09/2014,35474.00,
27/09/2014,35087.00,
28/09/2014,37873.00,
29/09/2014,31701.00,
30/09/2014,37373.00,
01/10/2014,32733.00,
02/10/2014,36992.00,
03/10/2014,37909.00,
04/10/2014,18967.00,
05/10/2014,33082.00,
06/10/2014,24330.00,
07/10/2014,31465.00,
08/10/2014,23573.00,
09/10/2014,26642.00,
10/10/2014,32510.00,
11/10/2014,30498.00,
12/10/2014,23063.00,
13/10/2014,13299.00,
14/10/2014,28518.00,
15/10/2014,25424.00,
16/10/2014,31541.00,
17/10/2014,32770.00,
18/10/2014,28951.00,
19/10/2014,30480.00,
20/10/2014,31642.00,
21/10/2014,24681.00,
22/10/2014,30642.00,
23/10/2014,31277.00,
24/10/2014,29144.00,
25/10/2014,30053.00,
26/10/2014,26514.00,
27/10/2014,33716.00,
28/10/2014,35320.00,
29/10/2014,23281.00,
30/10/2014,32503.00,
31/10/2014,36478.00,
01/11/2014,31912.00,
02/11/2014,15887.00,
03/11/2014,22347.00,
04/11/2014,23525.00,
05/11/2014,27970.00,
06/11/2014,28274.00,
07/11/2014,26779.00,
08/11/2014,17473.00,
09/11/2014,24099.00,
10/11/2014,28303.00,
11/11/2014,28993.00,
12/11/2014,24878.00,
13/11/2014,27839.00,
14/11/2014,21442.00,
15/11/2014,22842.00,
16/11/2014,17849.00,
17/11/2014,21398.00,
18/11/2014,26094.00,
19/11/2014,28807.00,
20/11/2014,29068.00,
21/11/2014,24070.00,
22/11/2014,18347.00,
23/11/2014,6030.00,
24/11/2014,25884.00,
25/11/2014,24359.00,
26/11/2014,23096.00,
27/11/2014,26765.00,
28/11/2014,26782.00,
29/11/2014,24337.00,
30/11/2014,19998.00,
01/12/2014,24983.00,
02/12/2014,21614.00,
03/12/2014,25376.00,
04/12/2014,19993.00,
05/12/2014,22939.00,
06/12/2014,17431.00,
07/12/2014,12789.00,
08/12/2014,23519.00,
09/12/2014,23925.00,
10/12/2014,25028.00,
11/12/2014,23028.00,
12/12/2014,20436.00,
13/12/2014,18255.00,
14/12/2014,14441.00,
15/12/2014,22940.00,
16/12/2014,23087.00,
17/12/2014,22120.00,
18/12/2014,23196.00,
19/12/2014,21966.00,
20/12/2014,14690.00,
21/12/2014,11802.00,
22/12/2014,18552.00,
23/12/2014,16551.00,
24/12/2014,10385.00,
25/12/2014,39145.00,
26/12/2014,7678.00,
27/12/2014,6349.00,
28/12/2014,9293.00,
29/12/2014,12411.00,
30/12/2014,13120.00,
31/12/2014,12811.00,
01/01/2015,9615.00,
02/01/2015,15389.00,
03/01/2015,5779.00,
04/01/2015,9367.00,
05/01/2015,20566.00,
06/01/2015,20765.00,
07/01/2015,22504.00,
08/01/2015,15769.00,
09/01/2015,22285.00,
10/01/2015,14877.00,
11/01/2015,14738.00,
12/01/2015,17354.00,
13/01/2015,24966.00,
14/01/2015,23767.00,
15/01/2015,23123.00,
16/01/2015,22894.00,
17/01/2015,15443.00,
18/01/2015,13373.00,
19/01/2015,23193.00,
20/01/2015,23384.00,
21/01/2015,22987.00,
22/01/2015,23432.00,
23/01/2015,22093.00,
24/01/2015,17748.00,
25/01/2015,15267.00,
26/01/2015,22867.00,
27/01/2015,25222.00,
28/01/2015,21685.00,
29/01/2015,21421.00,
30/01/2015,21405.00,
31/01/2015,10385.00,
01/02/2015,11420.00,
02/02/2015,21770.00,
03/02/2015,20028.00,
04/02/2015,22056.00,
05/02/2015,21396.00,
06/02/2015,21146.00,
07/02/2015,13324.00,
08/02/2015,15983.00,
09/02/2015,24078.00,
10/02/2015,24399.00,
11/02/2015,23870.00,
12/02/2015,23429.00,
13/02/2015,17836.00,
14/02/2015,14644.00,
15/02/2015,17253.00,
16/02/2015,16548.00,
17/02/2015,25288.00,
18/02/2015,25340.00,
19/02/2015,17081.00,
20/02/2015,21014.00,
21/02/2015,16490.00,
22/02/2015,9214.00,
23/02/2015,21857.00,
24/02/2015,23758.00,
25/02/2015,21708.00,
26/02/2015,20131.00,
27/02/2015,24540.00,
28/02/2015,13677.00,
01/03/2015,15817.00,
02/03/2015,22379.00,
03/03/2015,24001.00,
04/03/2015,24544.00,
05/03/2015,24959.00,
06/03/2015,25527.00,
07/03/2015,27754.00,
08/03/2015,20207.00,
09/03/2015,24230.00,
10/03/2015,27878.00,
11/03/2015,27610.00,
12/03/2015,28324.00,
13/03/2015,25840.00,
14/03/2015,18270.00,
15/03/2015,10744.00,
16/03/2015,19950.00,
17/03/2015,25956.00,
18/03/2015,26618.00,
19/03/2015,24241.00,
20/03/2015,25424.00,
21/03/2015,16304.00,
22/03/2015,18782.00,
23/03/2015,25741.00,
24/03/2015,24161.00,
25/03/2015,25779.00,
26/03/2015,20415.00,
27/03/2015,26567.00,
28/03/2015,19242.00,
29/03/2015,8987.00,
30/03/2015,22235.00,
31/03/2015,22898.00,
01/04/2015,23677.00,
02/04/2015,22818.00,
03/04/2015,11503.00,
04/04/2015,13828.00,
05/04/2015,19685.00,
06/04/2015,25724.00,
07/04/2015,29525.00,
08/04/2015,30882.00,
09/04/2015,31671.00,
10/04/2015,32299.00,
11/04/2015,25415.00,
12/04/2015,29457.00,
13/04/2015,28203.00,
14/04/2015,34830.00,
15/04/2015,37709.00,
16/04/2015,30656.00,
17/04/2015,30001.00,
18/04/2015,29846.00,
19/04/2015,19906.00,
20/04/2015,32163.00,
21/04/2015,35103.00,
22/04/2015,32559.00,
23/04/2015,32935.00,
24/04/2015,32332.00,
25/04/2015,25441.00,
26/04/2015,19565.00,
27/04/2015,30735.00,
28/04/2015,32024.00,
29/04/2015,26197.00,
30/04/2015,31854.00,
01/05/2015,29822.00,
02/05/2015,22474.00,
03/05/2015,21375.00,
04/05/2015,26933.00,
05/05/2015,26633.00,
06/05/2015,24556.00,
07/05/2015,31283.00,
08/05/2015,27029.00,
09/05/2015,27995.00,
10/05/2015,32399.00,
11/05/2015,33872.00,
12/05/2015,33930.00,
13/05/2015,36877.00,
14/05/2015,15657.00,
15/05/2015,32522.00,
16/05/2015,32720.00,
17/05/2015,31506.00,
18/05/2015,24385.00,
19/05/2015,28408.00,
20/05/2015,30650.00,
21/05/2015,34922.00,
22/05/2015,33624.00,
23/05/2015,23989.00,
24/05/2015,30267.00,
25/05/2015,29607.00,
26/05/2015,34880.00,
27/05/2015,36496.00,
28/05/2015,34496.00,
29/05/2015,26155.00,
30/05/2015,29432.00,
31/05/2015,15075.00,
01/06/2015,27893.00,
02/06/2015,28070.00,
03/06/2015,35630.00,
04/06/2015,39687.00,
05/06/2015,35048.00,
06/06/2015,33088.00,
07/06/2015,35757.00,
08/06/2015,32745.00,
09/06/2015,33447.00,
10/06/2015,35862.00,
11/06/2015,38969.00,
12/06/2015,35367.00,
13/06/2015,30566.00,
14/06/2015,25402.00,
15/06/2015,34723.00,
16/06/2015,38166.00,
17/06/2015,38799.00,
18/06/2015,38875.00,
19/06/2015,36220.00,
20/06/2015,26546.00,
21/06/2015,30621.00,
22/06/2015,29711.00,
23/06/2015,37663.00,
24/06/2015,39183.00,
25/06/2015,38856.00,
26/06/2015,37281.00,
27/06/2015,36885.00,
28/06/2015,25846.00,
29/06/2015,39280.00,
30/06/2015,43582.00,
01/07/2015,42891.00,
02/07/2015,38467.00,
03/07/2015,39940.00,
04/07/2015,38640.00,
05/07/2015,29963.00,
06/07/2015,38895.00,
07/07/2015,38120.00,
08/07/2015,41921.00,
09/07/2015,73094.00,
10/07/2015,43266.00,
11/07/2015,42676.00,
12/07/2015,23498.00,
13/07/2015,27646.00,
14/07/2015,35600.00,
15/07/2015,34878.00,
16/07/2015,39609.00,
17/07/2015,38845.00,
18/07/2015,38906.00,
19/07/2015,36989.00,
20/07/2015,32140.00,
21/07/2015,41001.00,
22/07/2015,38133.00,
23/07/2015,39368.00,
24/07/2015,16135.00,
25/07/2015,32982.00,
26/07/2015,12497.00,
27/07/2015,32103.00,
28/07/2015,36310.00,
29/07/2015,37021.00,
30/07/2015,36350.00,
31/07/2015,36932.00,
01/08/2015,43492.00,
02/08/2015,43679.00,
03/08/2015,35609.00,
04/08/2015,37864.00,
05/08/2015,39010.00,
06/08/2015,63963.00,
07/08/2015,39788.00,
08/08/2015,39362.00,
09/08/2015,40758.00,
10/08/2015,35625.00,
11/08/2015,34567.00,
12/08/2015,36838.00,
13/08/2015,26185.00,
14/08/2015,25638.00,
15/08/2015,34137.00,
16/08/2015,30948.00,
17/08/2015,36003.00,
18/08/2015,34776.00,
19/08/2015,31903.00,
20/08/2015,32857.00,
21/08/2015,36329.00,
22/08/2015,44724.00,
23/08/2015,27202.00,
24/08/2015,17520.00,
25/08/2015,28401.00,
26/08/2015,23969.00,
27/08/2015,30856.00,
28/08/2015,33201.00,
29/08/2015,22828.00,
30/08/2015,25191.00,
31/08/2015,9709.00,
01/09/2015,25739.00,
02/09/2015,30313.00,
03/09/2015,31163.00,
04/09/2015,29913.00,
05/09/2015,22475.00,
06/09/2015,29539.00,
07/09/2015,31917.00,
08/09/2015,32968.00,
09/09/2015,33332.00,
10/09/2015,35956.00,
11/09/2015,34690.00,
12/09/2015,29143.00,
13/09/2015,26342.00,
14/09/2015,25923.00,
15/09/2015,28311.00,
16/09/2015,18764.00,
17/09/2015,32336.00,
18/09/2015,30124.00,
19/09/2015,33855.00,
20/09/2015,31380.00,
21/09/2015,23831.00,
22/09/2015,20567.00,
23/09/2015,34193.00,
24/09/2015,29537.00,
25/09/2015,35064.00,
26/09/2015,32955.00,
27/09/2015,30024.00,
28/09/2015,33341.00,
29/09/2015,34591.00,
30/09/2015,35143.00,
01/10/2015,34845.00,
02/10/2015,35782.00,
03/10/2015,29224.00,
04/10/2015,30096.00,
05/10/2015,20833.00,
06/10/2015,25972.00,
07/10/2015,28817.00,
08/10/2015,33877.00,
09/10/2015,34392.00,
10/10/2015,29683.00,
11/10/2015,27984.00,
12/10/2015,31469.00,
13/10/2015,31753.00,
14/10/2015,30815.00,
15/10/2015,31062.00,
16/10/2015,30295.00,
17/10/2015,24555.00,
18/10/2015,23282.00,
19/10/2015,30127.00,
20/10/2015,32949.00,
21/10/2015,19085.00,
22/10/2015,30539.00,
23/10/2015,30515.00,
24/10/2015,17058.00,
25/10/2015,23591.00,
26/10/2015,30606.00,
27/10/2015,32635.00,
28/10/2015,24040.00,
29/10/2015,27534.00,
30/10/2015,24195.00,
31/10/2015,27765.00,
01/11/2015,23085.00,
02/11/2015,28256.00,
03/11/2015,30911.00,
04/11/2015,23675.00,
05/11/2015,24685.00,
06/11/2015,25677.00,
07/11/2015,15031.00,
08/11/2015,18943.00,
09/11/2015,28623.00,
10/11/2015,29429.00,
11/11/2015,30049.00,
12/11/2015,29108.00,
13/11/2015,25410.00,
14/11/2015,8983.00,
15/11/2015,17711.00,
16/11/2015,26676.00,
17/11/2015,23773.00,
18/11/2015,26636.00,
19/11/2015,23852.00,
20/11/2015,25993.00,
21/11/2015,12847.00,
22/11/2015,13205.00,
23/11/2015,24070.00,
24/11/2015,21348.00,
25/11/2015,26187.00,
26/11/2015,26826.00,
27/11/2015,23667.00,
28/11/2015,16523.00,
29/11/2015,11453.00,
30/11/2015,21886.00,
01/12/2015,26714.00,
02/12/2015,27975.00,
03/12/2015,26038.00,
04/12/2015,26130.00,
05/12/2015,16667.00,
06/12/2015,15627.00,
07/12/2015,25897.00,
08/12/2015,23565.00,
09/12/2015,27739.00,
10/12/2015,23251.00,
11/12/2015,23439.00,
12/12/2015,16815.00,
13/12/2015,12364.00,
14/12/2015,23972.00,
15/12/2015,20310.00,
16/12/2015,25740.00,
17/12/2015,25977.00,
18/12/2015,25886.00,
19/12/2015,18883.00,
20/12/2015,13118.00,
21/12/2015,18239.00,
22/12/2015,17571.00,
23/12/2015,18568.00,
24/12/2015,8968.00,
25/12/2015,22871.00,
26/12/2015,10362.00,
27/12/2015,9507.00,
28/12/2015,13851.00,
29/12/2015,15717.00,
30/12/2015,12379.00,
31/12/2015,14024.00,
01/01/2016,9922.00,
02/01/2016,7246.00,
03/01/2016,4894.00,
04/01/2016,20644.00,
05/01/2016,22934.00,
06/01/2016,23199.00,
07/01/2016,18225.00,
08/01/2016,20948.00,
09/01/2016,11674.00,
10/01/2016,14447.00,
11/01/2016,21188.00,
12/01/2016,22924.00,
13/01/2016,24726.00,
14/01/2016,22266.00,
15/01/2016,22594.00,
16/01/2016,16258.00,
17/01/2016,11826.00,
18/01/2016,22905.00,
19/01/2016,23919.00,
20/01/2016,23919.00,
21/01/2016,23490.00,
22/01/2016,18431.00,
23/01/2016,17424.00,
24/01/2016,16474.00,
25/01/2016,25886.00,
26/01/2016,20329.00,
27/01/2016,21816.00,
28/01/2016,25490.00,
29/01/2016,22701.00,
30/01/2016,16528.00,
31/01/2016,11098.00,
01/02/2016,23742.00,
02/02/2016,24643.00,
03/02/2016,24601.00,
04/02/2016,25344.00,
05/02/2016,22806.00,
06/02/2016,13255.00,
07/02/2016,14219.00,
08/02/2016,19924.00,
09/02/2016,23460.00,
10/02/2016,23769.00,
11/02/2016,25393.00,
12/02/2016,22995.00,
13/02/2016,9948.00,
14/02/2016,13782.00,
15/02/2016,21918.00,
16/02/2016,24537.00,
17/02/2016,19168.00,
18/02/2016,23696.00,
19/02/2016,22300.00,
20/02/2016,11224.00,
21/02/2016,14745.00,
22/02/2016,20538.00,
23/02/2016,25832.00,
24/02/2016,25634.00,
25/02/2016,24296.00,
26/02/2016,23714.00,
27/02/2016,14871.00,
28/02/2016,13549.00,
29/02/2016,23738.00,
